x,y,t
-1.554694359858712,-2.715436152192015,1779854245.7364755
-1.5546689567055239,-2.7154509618632092,1779854245.7961009
-1.5546477447591023,-2.7154632520531687,1779854245.8364298
-1.5546290151933166,-2.7154740655342273,1779854245.8965476
-1.554612922361466,-2.715483306946084,1779854245.93607
-1.5545985509308553,-2.7154915330484,1779854245.9964802
-1.5545860815412056,-2.715498632527426,1779854246.0364504
-1.5545750388725776,-2.7155048936399635,1779854246.0965536
-1.5545652033496182,-2.7155104486032635,1779854246.1360698
-1.5545566707757652,-2.7155152381420162,1779854246.1964676
-1.5545492875765314,-2.715519354684205,1779854246.2361372
-1.553824654064739,-2.714311687647972,1779854246.2964094
-1.5538212171334027,-2.7143139921349486,1779854246.3362694
-1.5538162941759985,-2.714317082285511,1779854246.3963656
-1.5538118944393062,-2.7143197987237286,1779854246.4362361
-1.5538344864911782,-2.714305924490176,1779854246.4963124
-1.5538945951927772,-2.714269029208472,1779854246.5362487
-1.553968954520756,-2.714223413989584,1779854246.5963929
-1.553595227060454,-2.7144525433584734,1779854246.6360369
-1.552590740079092,-2.7150678551068657,1779854246.6960933
-1.5518319503330436,-2.7155318636539003,1779854246.736008
-1.5516725235588915,-2.7156288047781754,1779854246.796083
-1.5517358190179653,-2.71558989349987,1779854246.8359776
-1.5522092088620127,-2.7153002373068023,1779854246.8960476
-1.5531763944767236,-2.7147091370305745,1779854246.9359822
-1.5538864751796213,-2.714276131036427,1779854246.9960573
-1.5540438744858829,-2.7141807587821214,1779854247.0359514
-1.5539969665906461,-2.7142095191151014,1779854247.0960631
-1.5540018030237592,-2.7142064261560352,1779854247.135964
-1.5541479947557908,-2.714117155313671,1779854247.1960392
-1.554329127347591,-2.7140068314016172,1779854247.236217
-1.5538782013180128,-2.7128860181024486,1779854247.2560234
-1.5540253437365525,-2.712793662467866,1779854247.29598
-1.5541930045558505,-2.712688423472058,1779854247.3359625
-1.5543594101673395,-2.712583956590865,1779854247.396032
-1.5545256265631067,-2.7124795922488363,1779854247.435967
-1.5547181705214679,-2.712358818350412,1779854247.4960203
-1.5549471270383115,-2.712215168181045,1779854247.5359697
-1.555190411401734,-2.7120623642194395,1779854247.595995
-1.555437802605003,-2.711906935153902,1779854247.6361375
-1.5556858669467701,-2.7117510699331064,1779854247.6960268
-1.5559976260385797,-2.711555404445736,1779854247.7359264
-1.5563948725854628,-2.71130604880356,1779854247.7959957
-1.5568236839669232,-2.7110366445894454,1779854247.8361607
-1.5572631497216765,-2.710760491391187,1779854247.896227
-1.5577053235778895,-2.7104826283065844,1779854247.93613
-1.5580941880905155,-2.7102381372391875,1779854247.9964485
-1.5584102695905928,-2.710039368237695,1779854248.0361826
-1.5587002357498156,-2.7098571364414834,1779854248.096252
-1.558891798376283,-2.7097366038454007,1779854248.1363149
-1.5589577730077373,-2.709694966836303,1779854248.1964085
-1.5589692359950995,-2.7096877235320984,1779854248.2364175
-1.5595560567712072,-2.7102927272112654,1779854248.2564254
-1.5595425529588915,-2.7103014492727335,1779854248.296445
-1.5595192220671856,-2.710316719319069,1779854248.3360415
-1.5595813735874953,-2.710277474045651,1779854248.3963683
-1.559763714754173,-2.710160416436102,1779854248.4362988
-1.559998796404961,-2.7100084062387144,1779854248.4964197
-1.5602607660487553,-2.7098386792716638,1779854248.5361156
-1.560531267853376,-2.7096632128777576,1779854248.5960538
-1.5607867455894995,-2.7094972719301245,1779854248.636341
-1.5610189488362693,-2.7093463453491267,1779854248.696424
-1.561269232043827,-2.7091838695957215,1779854248.736335
-1.561553550601903,-2.70899926137914,1779854248.7964945
-1.5618488875272634,-2.7088072730481287,1779854248.8362122
-1.5621313896093219,-2.7086234267752713,1779854248.8964975
-1.562390596274531,-2.708454636457829,1779854248.93647
-1.562632204670697,-2.708297272928049,1779854248.9964828
-1.5628595731872494,-2.708149133707188,1779854249.0363863
-1.5630812443952202,-2.708004687536916,1779854249.0964527
-1.5633366041584091,-2.7078383661779024,1779854249.1363914
-1.5636401799434188,-2.7076405578625726,1779854249.1965137
-1.5640667576297926,-2.707362656331072,1779854249.2363405
-1.5651536435134323,-2.7084067424034686,1779854249.25641
-1.5655562509693506,-2.708139335742175,1779854249.2964847
-1.566184836138244,-2.70771859973482,1779854249.336359
-1.566778511549493,-2.707320005090704,1779854249.3965013
-1.5673034259891732,-2.706967070555569,1779854249.4363813
-1.567778440580431,-2.7066476232640864,1779854249.496431
-1.5682093416968483,-2.7063576754235474,1779854249.5360997
-1.568624491351127,-2.7060783629840386,1779854249.5961316
-1.5690857281698611,-2.7057682943365315,1779854249.636432
-1.5696181373987543,-2.7054101376404227,1779854249.6966462
-1.5701586357395148,-2.705045741211431,1779854249.7363226
-1.5706846028623513,-2.704690726642289,1779854249.7964072
-1.571203090621966,-2.7043405683654496,1779854249.836312
-1.571719080285673,-2.703991848080819,1779854249.8965776
-1.5722349611092747,-2.7036429338665102,1779854249.9363458
-1.572740119729448,-2.703300952561107,1779854249.9963467
-1.5732346408621356,-2.702965897009079,1779854250.0363815
-1.5737250634068278,-2.702633402554931,1779854250.096434
-1.5740044696082858,-2.7024427314205344,1779854250.136388
-1.573994306182181,-2.702448309696706,1779854250.1964118
-1.574912756533475,-2.703784085345532,1779854250.2165391
-1.574727956654805,-2.7039103920641816,1779854250.2361038
-1.574392308385073,-2.704143299462414,1779854250.2966368
-1.5740110738740762,-2.704409660985833,1779854250.336138
-1.5736495877446595,-2.7046632234565524,1779854250.3966238
-1.5733292256888827,-2.704888404474445,1779854250.4361994
-1.572983825975875,-2.705130547283547,1779854250.4965937
-1.5725837357283685,-2.7054111188476275,1779854250.5361993
-1.5721634330917647,-2.7057065801916567,1779854250.5962853
-1.5716166996264085,-2.7060902896730124,1779854250.6366024
-1.570903431183448,-2.706591506431378,1779854250.6964953
-1.5703074138047595,-2.7070132375077387,1779854250.7364132
-1.5699417615321185,-2.70727345341696,1779854250.796539
-1.5696613799265162,-2.707472278063672,1779854250.836251
-1.569374344542839,-2.707675333535893,1779854250.8965755
-1.569048490947124,-2.7079059295565724,1779854250.9364214
-1.5689047233986408,-2.7080093354648143,1779854250.9964023
-1.5690292990118653,-2.7079227027021155,1779854251.0363712
-1.569251550584953,-2.7077651315897135,1779854251.0964632
-1.569281983234628,-2.7077419399471663,1779854251.1364439
-1.5690139095783444,-2.70793096373852,1779854251.1964602
-1.5705270197032655,-2.7105300744271426,1779854251.2165117
-1.5704474779577988,-2.710590161990007,1779854251.2363458
-1.5702690275373674,-2.7107262753047316,1779854251.2965043
-1.5701218858523331,-2.710837204039051,1779854251.3362882
-1.5700443486501683,-2.710896761835585,1779854251.396217
-1.5700517948079196,-2.7108925855933697,1779854251.4362442
-1.5701570295467617,-2.7108147938629905,1779854251.4965186
-1.570365138376487,-2.710659127347859,1779854251.5360892
-1.5706096164662984,-2.710474440991938,1779854251.5963342
-1.5708825480470672,-2.71026778956389,1779854251.636519
-1.5711816650289636,-2.7100408657332813,1779854251.696447
-1.5714992131933228,-2.709799382741054,1779854251.7363923
-1.5718308688228686,-2.7095466841460287,1779854251.79656
-1.5721672024936666,-2.70928983909645,1779854251.8364272
-1.5723208818550665,-2.709169666592668,1779854251.8963237
-1.5722208569048552,-2.7092430709108792,1779854251.9364092
-1.5721962379470589,-2.70926328746609,1779854251.9964552
-1.5723733050825308,-2.7091296815844372,1779854252.0361438
-1.5726250425639505,-2.70893647404727,1779854252.0965407
-1.5728491494646482,-2.7087630800298284,1779854252.136331
-1.5730117282418221,-2.708636635607233,1779854252.196485
-1.5759645670852334,-2.712861329235511,1779854252.2363853
-1.5759154241775508,-2.7128975942607685,1779854252.2964706
-1.5758327314537013,-2.7129673639708334,1779854252.3360646
-1.5757063379287515,-2.7130746081565906,1779854252.396392
-1.5755322972644092,-2.7132233026900012,1779854252.4362247
-1.5755187287551577,-2.7132420144551985,1779854252.4962332
-1.5757415554559149,-2.713057352251787,1779854252.5363123
-1.5760482832309215,-2.712792497330792,1779854252.5962663
-1.5762774604692602,-2.712589003448349,1779854252.636396
-1.576372736300924,-2.7125009268221794,1779854252.696521
-1.5764831585408674,-2.7124046403440616,1779854252.736165
-1.5766655061570136,-2.7122460350346755,1779854252.7964544
-1.5768746129405047,-2.7120615796819285,1779854252.8364809
-1.5771309298592149,-2.7118353024328172,1779854252.8964224
-1.577443502657701,-2.7115583258450173,1779854252.936462
-1.577832157556468,-2.711212897314316,1779854252.9967449
-1.5783014682278347,-2.710794095628293,1779854253.0364258
-1.5788004138033787,-2.7103457764630114,1779854253.0964584
-1.5791964869670971,-2.70998554679666,1779854253.1363926
-1.5794428875956579,-2.7097588620739965,1779854253.1963773
-1.5827473981707987,-2.7143437616881814,1779854253.2363756
-1.5829113142248301,-2.714169723731027,1779854253.2965574
-1.5830707796868297,-2.714000648305747,1779854253.336304
-1.5832357121910856,-2.7138257522320264,1779854253.3963995
-1.5834094559870429,-2.713640621995609,1779854253.436217
-1.5836674777622852,-2.7133694969009756,1779854253.4962227
-1.5840352879073483,-2.712978964354812,1779854253.536138
-1.5844385827469514,-2.7125414047332357,1779854253.5965817
-1.5848304970045597,-2.712110590659417,1779854253.636404
-1.5851957961043686,-2.711705974708299,1779854253.6965868
-1.585456371313762,-2.7114102854949245,1779854253.7364902
-1.5855864778737951,-2.7112574508128024,1779854253.7964385
-1.585672162749489,-2.711159703891044,1779854253.8364341
-1.5856647981809382,-2.7111631774236122,1779854253.89646
-1.5855466046021405,-2.711291597664476,1779854253.9364836
-1.5854269396388712,-2.711429201563957,1779854253.9964428
-1.5853436833430936,-2.7115276749300636,1779854254.0364392
-1.5852736589304555,-2.711609774556183,1779854254.096467
-1.5852498747673598,-2.7116405613772194,1779854254.1362503
-1.58755912066031,-2.7152753265372804,1779854254.1965528
-1.587501160006487,-2.7153389284321636,1779854254.2364006
-1.5873131008439112,-2.715582213888609,1779854254.2964177
-1.5870876805937024,-2.715898437891865,1779854254.3363786
-1.58677934495078,-2.7163298341340774,1779854254.396401
-1.5863762940068116,-2.7169007494118063,1779854254.4364674
-1.5859343777629344,-2.717541943645387,1779854254.4964125
-1.5854679655156962,-2.718227109595021,1779854254.5360672
-1.5849968208571619,-2.71892752498254,1779854254.5963852
-1.584525542365081,-2.719634608402373,1779854254.6363492
-1.5840568273365923,-2.720343832244926,1779854254.6963966
-1.5836383149441555,-2.7209889100265667,1779854254.736351
-1.5832878213543742,-2.7215363219001354,1779854254.7965817
-1.582958175738806,-2.7220499158509424,1779854254.836487
-1.582601552897654,-2.722603770768287,1779854254.8965118
-1.5822022855120332,-2.7232280898109025,1779854254.936485
-1.5817795346630965,-2.723897891408938,1779854254.9964278
-1.5813381674989757,-2.7246043506121373,1779854255.036345
-1.5808945130390013,-2.725322490326376,1779854255.0965235
-1.5804504829371457,-2.7260481150933207,1779854255.1364093
-1.581993982226443,-2.729473539346933,1779854255.1965404
-1.581719391407143,-2.730048628100024,1779854255.236368
-1.5814538697202922,-2.730611356092739,1779854255.2965224
-1.581204145753112,-2.7311329336749712,1779854255.3362267
-1.5809918479541143,-2.7315875484753067,1779854255.3965096
-1.5808218304453903,-2.731958982667522,1779854255.4363275
-1.5806597443469996,-2.732307978117158,1779854255.4964042
-1.5804961752469757,-2.732662157977458,1779854255.5361195
-1.580334203443278,-2.733018513552757,1779854255.5962827
-1.5801789844483534,-2.733366407658338,1779854255.636227
-1.5800311856413494,-2.733702850343732,1779854255.696541
-1.579974478332535,-2.73385667400579,1779854255.7363431
-1.5800294931360772,-2.733755836816654,1779854255.7964275
-1.580115171081134,-2.733556781298585,1779854255.8364968
-1.5802893150168256,-2.7331562157315616,1779854255.8964868
-1.5805651581227884,-2.7325035549738677,1779854255.9364877
-1.5809012538937268,-2.7316786958125587,1779854255.9964588
-1.5812865036710122,-2.7307129440918083,1779854256.03637
-1.5816814844274496,-2.729696285172412,1779854256.0964377
-1.5820765537134032,-2.728660630316185,1779854256.136491
-1.5833119773772553,-2.7287940787581326,1779854256.1964505
-1.5834155288741916,-2.7283676727444193,1779854256.236406
-1.5836247754618071,-2.727646088099729,1779854256.2964249
-1.5838329808665321,-2.7268991978341997,1779854256.3363812
-1.5840379906867896,-2.7261428174388422,1779854256.3963852
-1.5841629844362597,-2.7256094639743114,1779854256.4364793
-1.584210985039972,-2.725357198529611,1779854256.4964566
-1.5842554453393867,-2.725173527088939,1779854256.536472
-1.5842963291366676,-2.7250073279774867,1779854256.5962608
-1.5843353850306436,-2.72484637483448,1779854256.63626
-1.5843877044015597,-2.7246367129605593,1779854256.6962228
-1.584460823255538,-2.7243365678917555,1779854256.7361708
-1.5845415845949617,-2.7239807479299656,1779854256.7961392
-1.5846222293867391,-2.723605226371137,1779854256.8365614
-1.5847010119204106,-2.723223882508324,1779854256.896798
-1.5847880108932948,-2.722798349466896,1779854256.936242
-1.584868809779449,-2.7223768662666386,1779854256.9965184
-1.584932598424076,-2.7220173576281583,1779854257.0363777
-1.5849917227410864,-2.7216838880085095,1779854257.0964096
-1.5850481456144272,-2.721357656696627,1779854257.1364973
-1.5850847584249066,-2.721115841697093,1779854257.1964016
-1.5849060401312893,-2.7213930064156724,1779854257.2164843
-1.5849199829230893,-2.721238591163252,1779854257.2364273
-1.5849582612819022,-2.720876839639589,1779854257.296472
-1.5849891840477104,-2.7204729781385333,1779854257.3364165
-1.5850158663002065,-2.7200547887667996,1779854257.396496
-1.5850377927981645,-2.719642264499258,1779854257.436584
-1.5850367898990194,-2.71940623654474,1779854257.4963799
-1.5850228887359619,-2.719407614420257,1779854257.5362115
-1.5850171053138278,-2.7194987528408125,1779854257.5963612
-1.5850145308753056,-2.7196181912712816,1779854257.6362789
-1.5850168082878389,-2.719704901647606,1779854257.6963255
-1.5850231491024702,-2.71970497609419,1779854257.7366886
-1.585027555656945,-2.719640514760945,1779854257.7964284
-1.585028731227801,-2.7195531000641346,1779854257.8364904
-1.5850283261265607,-2.7194585687176236,1779854257.896418
-1.58502945798885,-2.719288638691803,1779854257.9363916
-1.5850290065055683,-2.718954225414911,1779854257.9964094
-1.585018457821222,-2.718493933674945,1779854258.036405
-1.5849981314562507,-2.7179911884585963,1779854258.0965111
-1.5849719827096838,-2.7174737475685773,1779854258.1364362
-1.584499627659354,-2.717154552914559,1779854258.1765323
-1.5844692582649773,-2.7169190618098917,1779854258.19652
-1.5844068575287584,-2.716426082699948,1779854258.2362275
